1, structory:abandoned_camp, HEADING, header:ignore, 0, 0, 0
2, structory:abandoned_chapel, HEADING, header:ignore, 0, 0, 0
3, idas:abandonedhouse, HEADING, header:ignore, 0, 0, 0
4, alexscaves:abyssal_ruins, HEADING, header:ignore, 0, 0, 0
5, alexscaves:abyssal_ruins, MONSTER, alexscaves:mine_guardian, 20, 1, 2
6, alexscaves:acid_pit, HEADING, header:ignore, 0, 0, 0
7, trolldom:air_shrine, HEADING, header:ignore, 0, 0, 0
8, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
9, idas:ancient_mines, HEADING, header:ignore, 0, 0, 0
10, idas:ancient_mines, MONSTER, minecraft:silverfish, 10, 1, 1
11, idas:ancient_mines, MONSTER, quark:wraith, 10, 1, 1
12, idas:ancient_portal/ancient_portal, HEADING, header:ignore, 0, 0, 0
13, idas:ancient_portal/ancient_portal, MONSTER, minecraft:silverfish, 10, 1, 4
14, idas:ancient_portal/ancient_portal, MONSTER, quark:wraith, 10, 1, 4
15, idas:ancient_portal/nether_ancient_portal, HEADING, header:ignore, 0, 0, 0
16, idas:ancient_portal/nether_ancient_portal, MONSTER, quark:wraith, 10, 1, 1
17, idas:ancient_statue/ancient_statue_desert, HEADING, header:ignore, 0, 0, 0
18, idas:ancient_statue/ancient_statue_jungle, HEADING, header:ignore, 0, 0, 0
19, idas:ancient_statue/ancient_statue_plains, HEADING, header:ignore, 0, 0, 0
20, idas:animal_den/forest_den, HEADING, header:ignore, 0, 0, 0
21, idas:animal_den/foxhound_den, HEADING, header:ignore, 0, 0, 0
22, idas:animal_den/polar_bear_den, HEADING, header:ignore, 0, 0, 0
23, spawn:ant_mount, HEADING, header:ignore, 0, 0, 0
24, idas:apothecary_abode, HEADING, header:ignore, 0, 0, 0
25, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
26, idas:bazaar, HEADING, header:ignore, 0, 0, 0
27, idas:bearclaw_inn, HEADING, header:ignore, 0, 0, 0
